ACCOUNTING_SUMMARY_ID,TRANS_DATE,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
231,09DEC2020:00:00:00,3393010001,0122020,VND,1227273,1227273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,99,baont,14DEC2020:13:51:49,,,,
232,09DEC2020:00:00:00,4774070001,0122020,VND,572727,572727,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,99,baont,14DEC2020:13:51:49,,,,
233,09DEC2020:00:00:00,3391401000,0122020,VND,86364,86364,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
234,09DEC2020:00:00:00,3391401000,0122020,VND,382500,382500,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,27,NK1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
235,09DEC2020:00:00:00,4774080001,0122020,VND,1227273,1227273,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,11,PV,,,,,,,99,baont,14DEC2020:13:51:49,,,,
236,09DEC2020:00:00:00,4774070001,0122020,VND,863636,863636,D,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
237,09DEC2020:00:00:00,4774080001,0122020,VND,499545,499545,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
238,09DEC2020:00:00:00,4774080001,0122020,VND,863636,863636,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
239,09DEC2020:00:00:00,4774080001,0122020,VND,572727,572727,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,23,NK,,,,,,,99,baont,14DEC2020:13:51:49,,,,
240,09DEC2020:00:00:00,3393010001,0122020,VND,863636,863636,C,LMSS,LMSS09122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,99,baont,14DEC2020:13:51:49,,,,
241,11DEC2020:00:00:00,4774070000,0122020,VND,4800000,4800000,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
242,11DEC2020:00:00:00,1423004000,0122020,VND,4800000,4800000,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
243,11DEC2020:00:00:00,3391401000,0122020,VND,115909,115909,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
244,11DEC2020:00:00:00,1423004000,0122020,VND,1275000,1275000,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
245,11DEC2020:00:00:00,3393010001,0122020,VND,1159091,1159091,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
246,11DEC2020:00:00:00,3393010000,0122020,VND,4800000,4800000,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
247,11DEC2020:00:00:00,4774080000,0122020,VND,4800000,4800000,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,9,FITIN1,,,,,,,99,baont,14DEC2020:15:34:27,,,,
248,11DEC2020:00:00:00,4774070001,0122020,VND,1159091,1159091,D,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
249,11DEC2020:00:00:00,4774080001,0122020,VND,1159091,1159091,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,99,baont,14DEC2020:15:34:27,,,,
101,01DEC2020:00:00:00,3393010001,122020,VND,2454545,2454545,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
102,01DEC2020:00:00:00,3391401000,122020,VND,63632,63632,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
103,01DEC2020:00:00:00,3391401000,122020,VND,245455,245455,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
104,01DEC2020:00:00:00,4774070001,122020,VND,2454545,2454545,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
105,01DEC2020:00:00:00,1341020000,122020,VND,699950,699950,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
106,01DEC2020:00:00:00,4774080001,122020,VND,636318,636318,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
107,01DEC2020:00:00:00,4774080001,122020,VND,2454545,2454545,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
108,01DEC2020:00:00:00,1423004000,122020,VND,2700000,2700000,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,99,baont,05DEC2020:09:59:19,,,,
109,01DEC2020:00:00:00,3393010001,122020,VND,636318,636318,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
110,01DEC2020:00:00:00,4774070001,122020,VND,636318,636318,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,99,baont,05DEC2020:09:59:19,,,,
323,14DEC2020:00:00:00,1423004000,0122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,99,baont,15DEC2020:18:04:25,,,,
324,14DEC2020:00:00:00,1341020000,0122020,VND,1200000,1200000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,99,baont,15DEC2020:18:04:25,,,,
325,14DEC2020:00:00:00,3393010001,0122020,VND,8345454,8345454,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,99,baont,15DEC2020:18:04:25,,,,
