,,,,,,,,,,,,,,,,,,,dealer,,,,,,,,,,,,,,
ACCOUNTING_TRANS_ID,TRANS_DATE,LOAN_ID,CORE_LOAN_ID,TRANS_TYPE,TRANS_DESC,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,CAMPAIGN_CODE,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
997,14DEC2020:00:00:00,2012142454,100235683,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,4590000,4590000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
998,14DEC2020:00:00:00,2012142500,100235685,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,4172727,4172727,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
999,14DEC2020:00:00:00,2012142498,100235691,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,1159091,1159091,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,baont,15DEC2020:09:19:32,,,,
1000,14DEC2020:00:00:00,2012142454,100235683,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,4172727,4172727,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
1001,14DEC2020:00:00:00,2012142500,100235685,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,4172727,4172727,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
1002,14DEC2020:00:00:00,2012142498,100235691,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,1159091,1159091,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,baont,15DEC2020:09:19:32,,,,
1003,14DEC2020:00:00:00,2012142454,100235683,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,4172727,4172727,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
1004,14DEC2020:00:00:00,2012142446,100235679,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774070000,122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTZO7,99,baont,15DEC2020:09:19:32,,,,
1005,14DEC2020:00:00:00,2012142496,100235689,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774070000,122020,VND,3000000,3000000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,baont,15DEC2020:09:19:32,,,,
1006,14DEC2020:00:00:00,2012142446,100235679,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,3393010000,122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTZO7,99,baont,15DEC2020:09:19:32,,,,
